title
"Wait Hours: Per Job: by Node Count"
parameters

start,end
2016-12-22,2017-01-01
---------
"Node Count","Wait Hours: Per Job","Std Dev: Wait Hours: Per Job"
20,31.02180556,3.7428536858056267
8,23.32822222,3.5623533676578716
2,12.75819728,1.7916575165582784
16,8.82927778,3.577621630132938
4,8.80284937,1.2555800122268639
24,8.77666667,0
12,7.94618687,6.785954421587278
5,7.86661111,2.858018648480399
6,7.37370833,4.0104974299359375
28,4.58277778,0
1,4.24213692,0.0897695546135694
3,1.29993827,0.48194573964755716
14,0.98805556,0.13847507798236555
9,0.09777778,0
7,0.00055556,0.00013094570021973103
---------
